"","User","Tweet","Cluster","Lem"
"1","kurai_joker","ой всё желающие могут подключаться  ","5"," ой все желающий мочь подключаться   "
"2","kurai_joker","проверили перископ  я дичайше запаниковала тк он работает
 Нужно принести ром 
 Какой
 ВСЕ в крайнем случае я за ним спрячусь","5"," проверять перископ  я дичайше запаниковать тк он работать"
"3","kurai_joker"," это просто кино про то что стало с выпускниками моего вуза  и сюжет оборван ровно по этой же причине кажется","5","  это просто кино про то что становиться с выпускник мой вуз  и сюжет оборвать ровно по этот же причина кажется "
"4","kurai_joker","rasslabon на самом деле планирование не дал мне запилить встречу вк просто приходите завтра к  на Винпарк слушать про Индию и всякое ","5"," rasslabon на самый дело планирование не давать я запиливать встреча вк просто приходить завтра к  на винпарк слушать про индия и всякий  "
"5","kurai_joker","Ikea what ","5"," Ikea what  "
"6","kurai_joker"," это просто карма юного тестера ","5","  это просто карма юный тестер  "
"7","kurai_joker","  посмотрим но я думаю вряд ли слишком много денег на кону 
Украина  совсем другая история это тёплое с мягким","5","   посмотреть но я думать вряд ли слишком много деньги на кон "
"8","kurai_joker"," ну у меня тоже сафари но без разницы на компе в хроме выдаёт так же на тупой запрос презервативы  статей о них ","5","  ну у я тоже сафари но без разница на комп в хром выдавать так же на тупой запрос презерватив  статья о они  "
"9","kurai_joker"," если я правильно поняла это туркам нужна теперь виза в Россию а русским в Турцию попрежнему нет","5","  если я правильно понимать это турок нужный теперь виза в россия а русский в турция попрежний нет "
"10","kurai_joker"," мне выдает такое ","5","  я выдавать такой  "
"11","kurai_joker"," рубрикатор не ужас на самом деле но для скорости я всё равно   искала через гугл site ","5","  рубрикатор не ужас на самый дело но для скорость я все равный   искать через гугл site  "
"12","kurai_joker"," если там в строке поиска чтото искать он выдает новости а не товары за каким мне нужно  статей про презервативы ну","5","  если там в строка поиск чтото искать он выдавать новость а не товар за какой я нужно  статья про презерватив ну "
"13","kurai_joker","    там злоебучий поиск по сайту презервативы тут ","5","     там злоебучий поиск по сайт презерватив тут  "
"14","kurai_joker"," тычут и всё время хотят сфотографироваться  но это слово употребляется довольно редко энивей","5","  тыкать и весь время хотеть сфотографироваться  но этот слово употребляться довольно редко эниво "
"15","kurai_joker"," в Индии это фернаги","5","  в индия это фернага "
"16","kurai_joker"," ","5","   "
"17","kurai_joker","похоже поход на Ямаоку растянул акклиматизацию втрое но он того стоил чего уж там","5"," похоже поход на ямаоко растягивать акклиматизация втрое но он то стоить чего уж там "
"18","kurai_joker"," о и правда крутая","5","  о и правда крутой "
"19","kurai_joker","  офигенно спасибо за наводку нужный нам фиолетовый там ₽","5","   офигенный спасибо за наводка нужный мы фиолетовый там ₽ "
"20","kurai_joker"," ","5","   "
"21","kurai_joker","недели Индии на джокерфм чегото и не думают заканчиваться уже чувствую себя в чёртовом сериале где моя Гита","5"," неделя индия на джокерфм чегото и не думать заканчиваться уже чувствовать себя в чертов сериал где мой гита "
"22","kurai_joker","  причем я только потом поняла что ващет надо было идти в косплее Марии из СХ а то я нынче похожа ","5","   причем я только потом понимать что ващета надо быть идти в косплей мария из СХ а то я нынче похожий  "
"23","kurai_joker","  у меня есть хитрый план в марте прервать череду белесых дней так что всё же не настолько","5","   у я быть хитрый план в март прерывать череда белесый день так что все же не настолько "
"24","kurai_joker","а также вчера  умудрился сделать из меня Самозванку бесплатно без смс без фильтров ","5"," а также вчера  умудряться сделать из я самозванка бесплатно без смс без фильтр  "
"25","kurai_joker","  тем что смотрю в окно и проверяю нет ли там океана и всё ещё ли холодина","5","   то что смотреть в окно и проверять нет ли там океан и все еще ли холодина "
"26","kurai_joker","  весь день можно завтра потом я до воскресенья занята","5","   весь день можно завтра потом я до воскресение занятый "
"27","kurai_joker","  конечно приходите в чем вопрос ","5","   конечно приходить в чем вопрос  "
"28","kurai_joker"," ага ура","5","  ага ура "
"29","kurai_joker"," такто можно конечно я просто хотела поймать  до отъезда обратно","5","  такто можно конечно я просто хотеть поймать  до отъезд обратно "
"30","kurai_joker","  день занималась успокоением рыдающего индуса в скайпе я еще не запилила группу для нее","5","   день заниматься успокоение рыдать индус в скайп я еще не запиливать группа для она "
"31","kurai_joker","  вообще официальная типа встреча по следам Индии у нас запланирована на воскресенье но поскольку я пять часов в","5","   вообще официальный тип встреча по след индия у мы запланировать на воскресение но поскольку я пять час в "
"32","kurai_joker"," я да использую акклиматизацию как прикрытие до  декабря  остальные на работе не считая котов заходите","5","  я да использовать акклиматизация как прикрытие до  декабрь  остальной на работа не считать кот заходить "
"33","kurai_joker"," ой а может парочку у нас а то зря я что ли привезла три бутылки гоанского рома и пачечку драматических историй","5","  ой а может парочка у мы а то зря я что ли привозить три бутылка гоанский ром и пачечка драматический история "
"34","kurai_joker"," мне периодически хочется но слишком мало знаний к счастью","5","  я периодически хотеться но слишком мало знание к счастие "
"35","kurai_joker"," спасибо ","5","  спасибо  "
"36","kurai_joker"," шлю тонну отдыха и регенерационных лучей","5","  слать тонна отдых и регенерационный луч "
"37","kurai_joker"," а пришли мне фуллвершн видосцов куданибудь а","5","  а приходить я фуллвершн видосцов куданибудь а "
"38","kurai_joker"," круто ","5","  круто  "
"39","kurai_joker"," и АКУСТИКУ","5","  и акустика "
"40","kurai_joker"," сама себе завидую всё ещё они даже Promise сыграли в конце всё как можно было мечтать","5","  сам себя завидовать все еще они даже Promise сыграть в конец все как можно быть мечтать "
